reference,publication_year,eon,era,period,epoch,age,framework,depo_env1,depo_env2,depo_env3,paleo_lat,paleo_long,modern_lat,modern_long,numberOfSamples,NumberOfPointsPerSample,microbial,green_algae,red_algae,prob_alga,calc_alga,sponges,sponges_silica,sponges_archaeocyath,sponges_calc,pelagic_foram,foraminifera,bryozoans,graptolites,cephalopods,annelids,sclerec_corals,rugose_corals,corals,trilobite,ostracods,barnacles,brachiopods,gastropods,bivalves,molluska,echinoderm,echinoids,crinoids,radiolarians,calcispheres,unid_biota,other_metazoans,skeletal_total,alga+micro_total,animals_total,protists_total,total_animals_new,total_protists_new,total_alga_new,ooids,peloids,cement,micrite,siliciclastics,fecal_pellets,other_abiotic,Pore Space,organic_matter,Glauconite and other minerals,Vertebrate fossils,Phosphates,Glauconite,carbonate_clasts,mean_ma,Dolomite,Pyrite,Cortoids,alga_total,Anhydrite,Paleocontinents1
Pruss et al,2010,Phanerozoic,Paleozoic,Cambrian,Furongian,,platform,innerPlatform,peritidal,,,,48.0,-59.0,1,200.0,17.5,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,3.5000000000000004,,,,,0.5,,4.0,0.0,4.0,0.0,4.0,-1.0,-1.0,0.5,0.0,4.0,74.0,,,0.0,,,,,,,,513.2,,,,,,Laurentia
Pruss et al,2010,Phanerozoic,Paleozoic,Cambrian,Furongian,,platform,innerPlatform,peritidal,,,,48.0,-59.0,1,200.0,46.0,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,15.0,39.0,,,0.0,,,,,,,,513.2,,,,,,Laurentia
Pruss et al,2012,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,innerPlatform,reef,,,,51.0,-56.0,1,200.0,23.0,,,,,0.0,,3.5000000000000004,,,,,,,,,,,0.0,0.0,,0.5,,,,0.0,,,,,0.0,0.0,4.0,0.0,4.0,0.0,4.0,-1.0,-1.0,,,26.0,46.0,0.0,,1.0,,0.0,,,0.0,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,15.666666666666666,84.33333333333333,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,8.333333333333334,91.66666666666667,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,24.333333333333332,75.66666666666667,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,49.333333333333336,50.666666666666664,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,16.666666666666668,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,19.0,64.33333333333333,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,12.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,14.666666666666666,73.33333333333333,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,20.666666666666668,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,9.0,70.33333333333333,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
